v0,theta_mrad,V_mean,V_std,N0_mean,N0_std,a_min,a_min_err
70366.9003827307,10.0,0.9999999999999998,1.2412670766236366e-16,26122.8,2151.6814820042487,4875.8137868809445,200.80539289304244
70366.9003827307,12.0,0.9999999999999998,1.2412670766236366e-16,31467.0,1791.466298873635,4442.5191001104795,126.45983490562101
70366.9003827307,14.0,0.9999999999999998,1.2412670766236366e-16,36811.6,749.7471573804065,4107.3775650128155,41.82777512599853
70366.9003827307,17.0,0.9999999999999998,1.2412670766236366e-16,44476.6,1424.9150150096673,3736.72539544081,59.8574994821046
70366.9003827307,20.0,0.9999999999999998,1.2412670766236366e-16,52353.0,2230.0494389138553,3444.182748892605,73.35489663137484
76596.78234751838,0.0,0.9999999999999998,1.2412670766236366e-16,2788.0,173.3666634621547,17684.582018327044,549.8416390315956
76596.78234751838,0.2,0.9732148029987695,0.057773968323269385,884.6,331.01857953897394,32259.60241844486,6332.319717164512
76596.78234751838,0.5,0.9758639763238184,0.053969789646486174,2453.0,418.7439551802509,19319.822129188153,1964.9133261780883
76596.78234751838,0.8,0.984874394896351,0.023895007903023582,3120.4,362.37590979533945,16972.866801195763,1068.1126263897418
76596.78234751838,1.0,0.997170604039853,0.006326721702151523,3995.0,587.0915601505442,14815.39807916134,1092.660910184288
76596.78234751838,1.25,0.9999999999999998,1.2412670766236366e-16,6003.2,894.1074879453812,12051.740674495622,897.4839735343196
76596.78234751838,1.4,0.9971570350392296,0.006357062909932066,5842.6,599.6601537537741,12251.084898999368,633.5329516604031
76596.78234751838,1.5,0.9999999999999998,1.2412670766236366e-16,5241.8,507.7122216374153,12897.364118832807,624.6088547864559
76596.78234751838,1.6,0.9999999999999998,1.2412670766236366e-16,6765.4,455.36501841928964,11352.576699504581,382.0591759449776
76596.78234751838,1.7,0.9999999999999998,1.2412670766236366e-16,7372.8,819.3318619460615,10874.892128360434,604.2579220914796
76596.78234751838,1.8,0.9999999999999998,1.2412670766236366e-16,7197.2,833.4840730331924,11006.75750992655,637.3282026525774
76596.78234751838,1.9,0.9999999999999998,1.2412670766236366e-16,7568.6,410.723507970995,10733.303443577648,291.2308777358674
76596.78234751838,2.0,0.998740553356717,0.0017970185161469202,8695.4,662.9745847315718,10026.369770573652,382.652208852499
76596.78234751838,2.1,0.9926836602524164,0.013788094604072636,8552.4,1138.6570159622256,10171.530565139903,691.695117547614
76596.78234751838,2.25,0.9999999999999998,1.2412670766236366e-16,9255.6,918.5468414838733,9705.96890355992,481.62123902856956
76596.78234751838,2.5,0.9999999999999998,1.2412670766236366e-16,10823.4,579.5712208175971,8975.514023379073,240.31032854718816
76596.78234751838,3.0,0.9999999999999998,1.2412670766236366e-16,11993.8,839.2411453211765,8526.342674238747,298.30652467645575
76596.78234751838,4.0,0.9999999999999998,1.2412670766236366e-16,15930.4,1387.5074053856433,7398.230257992471,322.1858606724468
76596.78234751838,5.5,0.9999999999999998,1.2412670766236366e-16,22473.4,835.052573195245,6228.834522184683,115.72357310771166
76596.78234751838,8.0,0.9999999999999998,1.2412670766236366e-16,31748.6,1060.4392014632429,5240.574444172369,87.52056120249122
76596.78234751838,10.0,0.9999999999999998,1.2412670766236366e-16,40841.0,1807.3452907510507,4620.542833483696,102.23692283257357
76596.78234751838,12.0,0.9999999999999998,1.2412670766236366e-16,49146.2,1892.1893932690778,4212.076133060011,81.08506642037416
76596.78234751838,14.0,0.9999999999999998,1.2412670766236366e-16,57088.6,1315.8998062162634,3908.107379001956,45.04119686505732
76596.78234751838,17.0,0.9999999999999998,1.2412670766236366e-16,68467.2,1525.240866224086,3568.616675255495,39.7489600055823
76596.78234751838,20.0,0.9999999999999998,1.2412670766236366e-16,79797.4,1921.9715918816282,3305.5734655103274,39.80842919436319
83378.222347179,0.0,0.9999999999999998,1.2412670766236366e-16,3971.2,233.58767090752028,17557.57429815635,516.3719892088137
83378.222347179,0.2,0.9626856605422999,0.05183985688108136,1354.4,326.33387810645706,31229.671740056107,4121.0364697399555
83378.222347179,0.5,0.9927931935704482,0.016114909077160282,3660.8,643.548521869175,18419.532459521244,1646.4013627407023
83378.222347179,0.8,0.9999999999999998,1.2412670766236366e-16,4673.6,803.5656787095875,16184.512596987357,1391.3598563828755
83378.222347179,1.0,0.9904519336023598,0.021350125518804698,6258.4,679.053974290704,14120.833491917849,824.3318236793581
83378.222347179,1.25,0.9999999999999998,1.2412670766236366e-16,8521.8,1169.6720480544964,11985.59851957402,822.5503747769886
83378.222347179,1.4,0.9999999999999998,1.2412670766236366e-16,9033.0,1052.0784191304372,11641.51198722266,677.9466139602154
83378.222347179,1.5,0.999999999999423,1.289924746027283e-12,8189.8,557.3254883817893,12226.122607634781,416.0009861849917
83378.222347179,1.6,0.9999999999999998,1.5700924586837752e-16,9793.2,269.9577744759354,11180.547804279024,154.10059034151104
83378.222347179,1.7,0.9999999999999998,1.2412670766236366e-16,10815.6,814.913369628944,10638.982297171728,400.8029565262628
83378.222347179,1.8,0.9999999999999998,1.2412670766236366e-16,10893.6,1288.0373829978694,10600.825424761486,626.7101526459141
83378.222347179,1.9,0.9999999999999998,1.2412670766236366e-16,11030.2,770.7997145821994,10534.979654523413,368.09664878406215
83378.222347179,2.0,0.9999999999999998,1.2412670766236366e-16,12986.0,806.1848423283583,9709.294976811572,301.3817357153996
83378.222347179,2.1,0.9944931624397138,0.012313663125848948,12844.4,865.5306464822606,9816.726294005559,352.3812213039231
83378.222347179,2.25,0.9999999999999998,1.2412670766236366e-16,13397.0,787.5592041237281,9559.201496589332,280.974737729053
83378.222347179,2.5,0.9999999999999998,1.2412670766236366e-16,16015.4,1050.5366723727448,8742.919904828803,286.74769233488655
83378.222347179,3.0,0.9999999999999998,1.2412670766236366e-16,18272.2,1004.0608547294332,8185.212799476507,224.88949769553415
83378.222347179,4.0,0.9999999999999998,1.2412670766236366e-16,24711.4,1338.5160813378372,7038.4449708667635,190.62197570992717
83378.222347179,5.5,0.9999999999999998,1.2412670766236366e-16,33474.6,478.6787022628017,6047.386091051426,43.238080905322455
83378.222347179,8.0,0.9999999999999998,1.2412670766236366e-16,48399.4,1137.6268280943448,5029.275260269261,59.10650196028752
83378.222347179,10.0,0.9999999999999998,1.2412670766236366e-16,61283.6,2098.8123546425013,4469.4415303548385,76.53368194966535
83378.222347179,12.0,0.9999999999999998,1.2412670766236366e-16,72108.4,1195.559617919575,4120.334410157007,34.157639284106914
83378.222347179,14.0,0.9999999999999998,1.2412670766236366e-16,85438.4,1908.1670000290856,3785.287245650979,42.2699875453086
83378.222347179,17.0,0.9999999999999998,1.2412670766236366e-16,102566.0,3904.9501917438074,3454.806161421221,65.76665748142408
83378.222347179,20.0,0.9999999999999998,1.2412670766236366e-16,119601.2,2102.996005702341,3199.3195971450373,28.12746165490495
90760.05216818141,0.0,0.9999999999999998,1.2412670766236366e-16,5616.8,313.83307665062966,17493.03339835442,488.70286385110626
90760.05216818141,0.2,0.9842472833560689,0.03522414524612179,1795.4,319.65418814712876,31435.81831966963,3016.1013020520954
90760.05216818141,0.5,0.9999999999999998,1.2412670766236366e-16,5040.8,537.8268308665903,18465.44898895899,985.0831128253944
90760.05216818141,0.8,0.9999835330590032,3.6821199450114206e-05,6737.8,905.9021470335524,15971.941068391317,1073.7197510028484
90760.05216818141,1.0,0.9934389451395003,0.014670964672182416,8842.2,791.6234584699977,14034.219249805634,661.5314928787568
90760.05216818141,1.25,0.9999999999999998,1.2412670766236366e-16,11792.8,758.0275060972392,12072.609098067678,388.0066551919426
90760.05216818141,1.4,0.9947193023115639,0.008537469212045188,12551.6,1510.9732955945979,11764.121863007307,715.2505282967398
90760.05216818141,1.5,0.9996038163367527,0.0008858936025958885,11752.2,774.0698934850781,12098.237696998225,398.57524004959976
90760.05216818141,1.6,0.9999999999999998,1.2412670766236366e-16,13719.2,739.8528232020203,11192.966698868959,301.80870649033454
